Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa)
22:54:38,53.1,29.0,1012.51,,,
22:59:38,53.1,29.0,1012.4,,,
23:04:38,52.6,29.0,1012.36,,,
23:09:39,52.0,29.3,1012.28,,,
23:14:39,51.4,29.6,1012.27,,,
23:19:39,50.9,29.5,1012.41,,,
23:24:39,50.9,29.7,1012.29,,,
23:29:40,50.5,29.5,1012.15,,,
23:34:40,50.4,29.6,1012.21,,,
23:39:40,50.6,29.5,1012.18,51.55,29.37,911.09
23:44:40,50.5,29.4,1012.35,,,
23:49:40,50.8,29.5,1012.46,,,
23:54:41,50.8,29.4,1012.49,,,
23:59:41,50.8,29.4,1012.75,,,
00:04:41,51.0,29.4,1012.68,50.72,29.49,1012.36
00:09:41,50.8,29.3,1012.86,,,
00:14:42,50.8,29.3,1012.9,,,
00:19:42,50.9,29.3,1012.99,,,
00:24:42,50.5,29.2,1012.94,,,
00:29:42,50.4,29.2,1012.88,50.73,29.34,1012.66
00:34:42,50.4,29.3,1012.84,,,
00:39:43,50.0,29.3,1012.83,,,
00:44:43,49.8,29.4,1013.0,,,
00:49:43,50.2,29.5,1012.97,,,
00:54:43,49.9,29.4,1012.98,50.37,29.32,1012.89
00:59:44,50.1,29.3,1012.9,,,
01:04:44,51.1,29.3,1013.02,,,
01:09:44,51.0,29.3,1013.07,,,
01:14:44,50.4,29.2,1012.97,,,
01:19:44,50.5,29.2,1013.01,50.34,29.32,1012.95
01:24:45,50.5,29.1,1012.99,,,
01:29:45,50.4,29.1,1012.99,,,
01:34:45,49.6,29.1,1012.94,,,
01:39:45,49.4,29.1,1012.93,,,
01:44:46,49.4,29.1,1012.92,50.24,29.18,1012.98
01:49:46,49.3,29.1,1013.08,,,
01:54:46,49.3,29.1,1013.01,,,
01:59:46,49.3,29.0,1013.04,,,
02:04:46,49.8,29.0,1013.03,,,
02:09:47,49.6,29.0,1013.03,49.66,29.07,1012.99
02:14:47,49.1,29.0,1012.95,,,
02:19:47,49.3,29.0,1013.04,,,
02:24:47,49.4,28.9,1013.09,,,
02:29:47,49.5,29.0,1013.08,,,
02:34:48,49.2,29.0,1012.98,49.38,29.01,1013.03
02:39:48,49.3,29.0,1013.06,,,
02:44:48,48.8,28.9,1013.1,,,
02:49:48,48.7,28.9,1013.06,,,
02:54:49,48.7,28.8,1013.01,,,
02:59:49,48.8,28.8,1012.91,49.08,28.93,1013.04
03:04:49,48.6,28.8,1012.95,,,
03:09:49,48.2,28.9,1012.88,,,
03:14:49,48.3,28.9,1012.85,,,
03:19:50,48.0,28.9,1012.81,,,
03:24:50,48.1,28.9,1012.75,48.55,28.88,1012.96
03:29:50,48.3,28.9,1012.74,,,
03:34:50,47.9,28.9,1012.91,,,
03:39:51,47.9,28.9,1012.94,,,
03:44:51,48.0,28.9,1012.79,,,
03:49:51,47.9,28.8,1012.67,48.12,28.88,1012.85
03:54:51,47.8,28.8,1012.75,,,
03:59:51,47.7,28.8,1012.73,,,
04:04:52,47.9,28.8,1012.67,,,
04:09:52,48.0,28.8,1012.64,,,
04:14:52,47.9,28.8,1012.67,47.93,28.84,1012.76
04:19:52,47.7,28.8,1012.75,,,
04:24:53,47.7,28.8,1012.75,,,
04:29:53,48.3,28.8,1012.66,,,
04:34:53,48.3,28.8,1012.65,,,
04:39:53,48.2,28.8,1012.74,47.95,28.8,1012.69
04:44:53,48.2,28.9,1012.72,,,
04:49:54,47.8,28.8,1012.7,,,
04:54:54,48.1,28.7,1012.82,,,
04:59:54,48.1,28.7,1012.84,,,
05:04:54,48.0,28.7,1012.67,48.04,28.78,1012.73
05:09:55,47.7,28.7,1012.7,,,
05:14:55,47.5,28.7,1012.7,,,
05:19:55,47.3,28.7,1012.67,,,
05:24:55,47.2,28.7,1012.74,,,
05:29:55,47.4,28.6,1012.82,47.73,28.72,1012.73
05:34:56,47.1,28.6,1012.73,,,
05:39:56,46.7,28.6,1012.82,,,
05:44:56,46.8,28.7,1012.76,,,
05:49:56,46.6,28.6,1012.82,,,
05:54:56,46.4,28.6,1012.71,47.07,28.65,1012.74
05:59:57,46.0,28.5,1012.77,,,
06:04:57,45.3,28.6,1012.79,,,
06:09:57,45.5,28.5,1012.84,,,
06:14:57,45.6,28.6,1012.93,,,
06:19:58,45.8,28.5,1012.89,46.18,28.58,1012.8
06:24:58,45.7,28.6,1012.93,,,
06:29:58,45.8,28.6,1012.97,,,
06:34:58,45.8,28.6,1013.0,,,
06:39:58,45.5,28.6,1012.98,,,
06:44:59,45.7,28.6,1013.1,45.67,28.57,1012.88
06:49:59,45.4,28.6,1013.06,,,
06:54:59,44.7,28.8,1013.11,,,
06:59:59,44.5,28.9,1013.18,,,
07:05:00,43.7,29.0,1013.07,,,
07:10:00,44.5,29.2,1013.03,45.13,28.75,1013.03
07:15:00,44.7,29.4,1012.96,,,
07:20:00,45.3,29.7,1012.92,,,
07:25:00,45.7,29.7,1012.95,,,
07:30:01,45.9,29.8,1012.95,,,
07:35:01,46.1,29.9,1013.03,45.05,29.3,1013.03
07:40:01,46.4,30.0,1013.0,,,
07:45:01,46.6,30.0,1013.05,,,
07:50:02,46.6,30.0,1013.04,,,
07:55:02,46.5,30.0,1013.01,,,
08:00:02,46.6,30.0,1013.04,46.04,29.85,1012.99
08:05:02,46.7,30.0,1013.16,,,
08:10:02,46.8,30.0,1013.18,,,
08:15:03,46.8,30.1,1013.24,,,
08:20:03,45.9,30.2,1013.14,,,
08:25:03,45.8,30.2,1013.16,46.47,30.05,1013.09
08:30:03,45.8,30.2,1013.08,,,
08:35:04,45.7,30.3,1013.13,,,
08:40:04,45.5,30.3,1013.14,,,
08:45:04,45.5,30.3,1013.11,,,
08:50:04,45.3,30.4,1013.04,45.98,30.2,1013.14
08:55:04,45.8,30.4,1013.14,,,
09:00:05,45.8,30.3,1013.17,,,
09:05:05,45.7,30.4,1013.11,,,
09:10:05,45.6,30.5,1013.15,,,
09:15:05,45.4,30.5,1013.23,45.61,30.36,1013.12
09:20:06,45.0,30.5,1013.18,,,
09:25:06,45.1,30.5,1013.12,,,
09:30:06,45.1,30.5,1013.14,,,
09:35:06,45.2,30.5,1013.16,,,
09:40:07,44.9,30.5,1013.19,45.36,30.46,1013.14
09:45:07,44.9,30.5,1013.26,,,
09:50:07,45.1,30.5,1013.23,,,
09:55:07,45.4,30.5,1013.19,,,
10:00:07,45.7,30.5,1013.23,,,
10:05:08,45.2,30.5,1013.22,45.16,30.5,1013.19
10:10:08,45.3,30.5,1013.23,,,
10:15:08,45.5,30.5,1013.26,,,
10:20:08,45.7,30.5,1013.24,,,
10:25:09,45.9,30.4,1013.27,,,
10:30:09,46.1,30.5,1013.2,45.48,30.49,1013.23
10:35:09,46.1,30.4,1013.24,,,
