Vrijeme,Vlažnost (%),Temperatura (°C),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Napon (V),Napon (V),Brzina vjetra (m/s)
11:04:01,99.9,16.3,,,,0.38,0.0
11:04:02,99.9,16.3,,,,0.39,0.0
11:04:05,99.9,16.3,,,,0.36,0.0
11:04:08,99.9,16.3,,,,0.39,0.0
11:04:11,99.9,16.3,,,,0.36,0.0
11:04:14,99.9,16.3,,,,0.39,0.0
11:04:18,99.9,16.3,,,,0.45,0.98
11:04:21,99.9,16.3,,,,0.43,0.59
11:04:24,99.9,16.3,,,,0.43,0.69
11:04:27,99.9,16.3,,,,0.42,0.4
11:04:30,99.9,16.3,,,,0.42,0.3
11:04:33,99.9,16.2,,,,0.41,0.2
11:04:36,99.9,16.2,99.9,16.28,0.41,0.44,0.79
11:04:39,99.9,16.3,,,,0.42,0.3
11:04:42,99.9,16.3,,,,0.41,0.2
11:04:45,99.9,16.2,,,,0.41,0.2
11:04:48,99.9,16.2,,,,0.4,0.01
11:04:51,99.9,16.3,99.9,16.26,0.41,0.38,0.0
11:04:54,99.9,16.2,,,,0.38,0.0
11:04:57,99.9,16.2,,,,0.38,0.0
11:05:00,99.9,16.2,,,,0.4,0.0
11:05:03,99.9,16.2,,,,0.38,0.0
11:05:06,99.9,16.2,99.9,16.23,0.39,0.39,0.0
11:05:09,99.9,16.2,,,,0.39,0.0
11:05:12,99.9,16.2,,,,0.42,0.3
11:05:15,99.9,16.2,,,,0.4,0.0
11:05:18,99.9,16.2,,,,0.38,0.0
11:05:21,99.9,16.2,99.9,16.2,0.39,0.38,0.0
11:05:24,99.9,16.3,,,,0.4,0.0
11:05:27,99.9,16.2,,,,0.39,0.0
11:05:30,99.9,16.2,,,,0.39,0.0
11:05:33,99.9,16.2,,,,0.39,0.0
11:05:36,99.9,16.2,99.9,16.21,0.39,0.4,0.0
11:05:39,99.9,16.2,,,,0.37,0.0
11:05:42,99.9,16.2,,,,0.38,0.0
11:05:45,99.9,16.2,,,,0.39,0.0
11:05:48,99.9,16.2,,,,0.38,0.0
11:05:51,99.9,16.2,99.9,16.21,0.39,0.4,0.0
11:05:54,99.9,16.2,,,,0.38,0.0
11:05:57,99.9,16.2,,,,0.38,0.0
11:06:00,99.9,16.2,,,,0.33,0.0
11:06:03,99.9,16.2,,,,0.37,0.0
11:06:06,99.9,16.2,99.9,16.2,0.38,0.41,0.11
11:06:09,99.9,16.2,,,,0.38,0.0
