Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
10:08:19,90.9,22.8,997.66,,,,0.37,0.0
10:13:19,90.9,22.9,997.7,,,,0.39,0.0
10:18:19,90.6,23.0,997.43,,,,0.42,0.3
20:13:47,75.9,22.5,999.89,,,,0.49,1.77
20:18:47,75.5,22.4,999.9,,,,0.48,1.57
20:23:47,71.3,22.4,999.98,,,,0.42,0.4
20:28:48,72.4,22.4,1000.05,,,,0.59,3.72
20:33:48,70.7,22.5,1000.18,,,,0.52,2.45
20:38:48,70.8,22.5,1000.1,,,,0.63,4.5
20:43:48,71.1,22.4,1000.01,78.01,22.58,999.29,0.43,0.69
20:48:48,69.6,22.2,1000.19,,,,0.47,1.47
20:53:49,69.7,22.0,1000.35,,,,0.46,1.18
20:58:49,70.5,21.9,1000.57,71.75,22.32,1000.12,0.46,1.18
21:03:49,70.9,21.9,1000.58,,,,0.38,0.0
21:08:49,71.6,21.8,1000.66,,,,0.43,0.69
21:13:50,71.4,21.8,1000.74,,,,0.38,0.0
21:18:50,71.5,21.8,1000.84,70.78,22.08,1000.34,0.38,0.0
21:23:50,70.9,21.8,1000.86,,,,0.42,0.4
21:28:50,69.9,21.7,1000.79,,,,0.43,0.69
21:33:51,71.3,21.6,1000.96,70.73,21.85,1000.65,0.37,0.0
21:38:51,74.5,21.4,1000.9,,,,0.41,0.2
21:43:51,75.4,21.3,1000.94,,,,0.37,0.0
21:48:51,76.5,21.2,1001.15,72.39,21.63,1000.84,0.48,1.57
21:53:51,73.9,21.2,1001.18,,,,0.37,0.0
21:58:52,74.9,21.3,1001.33,,,,0.37,0.0
22:03:52,74.4,21.2,1001.33,,,,0.45,1.08
22:08:52,73.7,21.2,1001.43,73.54,21.39,1001.03,0.43,0.59
22:13:52,70.5,21.4,1001.52,,,,0.42,0.3
22:18:53,71.0,21.4,1001.52,,,,0.54,2.74
22:23:53,70.6,21.4,1001.61,73.54,21.3,1001.29,0.42,0.4
22:28:53,72.0,21.5,1001.64,,,,0.48,1.57
22:33:53,71.8,21.3,1001.66,,,,0.47,1.38
22:38:53,70.8,21.3,1001.63,72.36,21.32,1001.48,0.43,0.69
22:43:54,69.7,21.3,1001.68,,,,0.47,1.47
22:48:54,72.4,21.3,1001.68,,,,0.49,1.86
22:53:54,70.7,21.1,1001.74,,,,0.49,1.77
22:58:54,71.9,21.0,1001.89,71.14,21.3,1001.61,0.42,0.4
23:03:55,75.0,20.9,1001.86,,,,0.52,2.45
23:08:55,74.3,20.8,1001.81,,,,0.43,0.69
23:13:55,75.2,21.0,1001.87,72.38,21.15,1001.75,0.51,2.25
23:18:55,74.3,21.0,1001.93,,,,0.5,2.06
23:23:55,74.4,21.0,1001.8,,,,0.41,0.11
23:28:56,72.3,21.0,1001.77,73.02,21.04,1001.8,0.5,2.06
23:33:56,72.5,21.0,1001.89,,,,0.43,0.69
23:38:56,71.9,21.0,1001.81,,,,0.4,0.01
23:43:56,71.5,21.0,1001.84,,,,0.43,0.59
23:48:57,72.3,21.0,1001.55,73.37,20.97,1001.85,0.4,0.0
23:53:57,71.7,20.9,1001.46,,,,0.37,0.0
23:58:57,71.4,20.9,1001.5,,,,0.4,0.01
