Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
22:04:36,80.3,19.2,1003.1,,,,0.39,0.0
22:09:37,80.4,19.3,1003.17,,,,0.38,0.0
22:14:37,77.3,19.8,1003.17,,,,0.37,0.0
22:19:37,77.3,19.7,1003.15,,,,0.38,0.0
22:24:37,77.4,20.0,1003.17,,,,0.37,0.0
22:29:38,78.3,19.7,1003.07,,,,0.38,0.0
22:34:38,75.8,19.7,1002.99,,,,0.38,0.0
22:39:38,77.3,19.6,1002.9,,,,0.36,0.0
22:44:38,76.4,19.9,1002.89,,,,0.38,0.0
22:49:38,76.4,19.6,1002.97,77.69,19.65,1003.06,0.38,0.0
22:54:39,77.9,19.3,1003.05,,,,0.39,0.0
22:59:39,77.4,19.6,1003.04,,,,0.39,0.0
23:04:39,76.2,20.1,1002.99,77.04,19.72,1003.02,0.38,0.0
23:09:39,73.8,20.5,1002.97,,,,0.37,0.0
23:14:40,74.5,20.5,1002.95,,,,0.38,0.0
23:19:40,73.8,20.8,1002.88,,,,0.38,0.0
23:24:40,74.0,20.5,1002.81,75.77,20.04,1002.96,0.38,0.0
23:29:40,73.3,20.4,1002.76,,,,0.38,0.0
23:34:40,75.1,20.3,1002.79,,,,0.37,0.0
23:39:41,73.7,20.2,1002.78,74.97,20.22,1002.9,0.37,0.0
23:44:41,76.2,20.0,1002.76,,,,0.38,0.0
23:49:41,74.8,20.3,1002.79,,,,0.4,0.01
23:54:41,75.0,20.3,1002.79,74.42,20.38,1002.83,0.41,0.11
23:59:42,75.3,20.0,1002.75,,,,0.37,0.0
