Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa)
19:40:15,54.8,29.6,1011.68,,,
19:45:15,54.8,29.6,1011.75,,,
19:50:15,57.3,29.7,1011.59,,,
19:55:16,54.9,29.6,1011.66,,,
20:00:16,54.7,29.6,1011.65,,,
20:05:16,54.6,29.8,1011.62,,,
20:10:16,53.9,29.8,1011.72,,,
20:15:16,54.2,29.8,1011.69,,,
20:20:17,54.2,29.7,1011.71,,,
20:25:17,54.4,29.8,1011.79,54.78,29.7,1011.67
20:30:17,54.3,29.8,1011.89,,,
20:35:17,54.5,29.7,1011.9,,,
20:40:18,54.6,29.6,1011.88,,,
20:45:18,54.4,29.6,1011.86,,,
20:50:18,54.5,29.7,1011.96,54.36,29.73,1011.77
20:55:18,54.3,29.6,1011.98,,,
21:00:18,54.3,29.6,1012.08,,,
21:05:19,54.3,29.5,1012.0,,,
21:10:19,54.5,29.6,1012.08,,,
21:15:19,54.4,29.6,1012.13,54.41,29.63,1011.94
21:20:19,54.6,29.6,1012.13,,,
21:25:20,55.1,29.6,1012.2,,,
21:30:20,55.5,29.6,1012.31,,,
21:35:20,55.6,29.6,1012.34,,,
21:40:20,55.6,29.6,1012.35,54.82,29.59,1012.12
21:45:20,55.3,29.5,1012.22,,,
21:50:21,55.3,29.5,1012.27,,,
21:55:21,55.5,29.6,1012.34,,,
22:00:21,55.4,29.5,1012.3,,,
22:05:21,54.9,29.6,1012.31,55.28,29.57,1012.26
22:10:22,54.7,29.5,1012.35,,,
22:15:22,54.2,29.5,1012.4,,,
22:20:22,54.5,29.5,1012.48,,,
22:25:22,54.4,29.5,1012.45,,,
22:30:23,54.6,29.5,1012.48,54.88,29.52,1012.35
