Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
13:43:06,51.4,19.7,1018.57,,,,0.52,2.45
13:48:06,50.0,19.7,1018.66,,,,0.48,1.67
13:53:06,49.2,19.2,1018.55,,,,0.44,0.89
13:58:07,51.1,19.3,1018.65,,,,0.48,1.57
14:03:07,47.3,19.1,1018.48,,,,0.45,1.08
14:08:07,51.6,19.2,1018.74,,,,0.52,2.35
14:19:09,49.6,19.3,1018.46,,,,0.44,0.89
14:24:09,52.3,19.2,1018.53,,,,0.55,2.94
14:29:09,49.1,19.3,1018.43,,,,0.54,2.74
14:34:09,46.6,19.2,1018.42,49.82,19.32,1018.55,0.46,1.28
14:39:10,47.1,19.1,1018.6,,,,0.47,1.47
14:44:10,46.4,19.2,1018.51,,,,0.45,0.98
14:49:10,46.2,19.2,1018.58,48.73,19.21,1018.54,0.51,2.25
14:54:10,44.6,19.1,1018.49,,,,0.54,2.74
14:59:10,44.8,19.1,1018.55,,,,0.52,2.45
15:04:11,45.7,19.1,1018.47,,,,0.4,0.01
15:09:11,45.5,19.3,1018.62,46.83,19.18,1018.5,0.37,0.0
15:14:11,46.1,19.2,1018.59,,,,0.48,1.57
15:19:11,45.1,19.3,1018.65,,,,0.38,0.0
15:24:11,46.8,19.2,1018.75,45.83,19.18,1018.58,0.46,1.28
15:29:12,45.3,19.1,1018.74,,,,0.42,0.3
15:34:12,45.4,19.3,1018.59,,,,0.4,0.01
15:39:12,46.6,19.4,1018.63,45.59,19.21,1018.61,0.38,0.0
15:44:12,46.1,19.6,1018.47,,,,0.43,0.69
15:49:13,46.1,19.6,1018.56,,,,0.49,1.77
15:54:13,45.3,19.3,1018.56,,,,0.47,1.38
15:59:13,45.4,19.1,1018.56,45.82,19.31,1018.62,0.43,0.69
16:04:13,47.0,19.1,1018.55,,,,0.49,1.86
16:09:13,47.3,19.0,1018.66,,,,0.47,1.38
